PLAYER,TEAM,Isolation,P&R Handler,P&R Roll,Transition,Post Up,Spot Up,HandOff,Cut,Season,Cluster
Shake Milton,PHI,0.0,0.116,0.0,0.189,0.0,0.4,0.0,0.0,2019,0
Solomon Hill,NOP,0.0,0.049,0.0,0.166,0.0,0.386,0.0,0.13,2019,0
Bruce Brown,DET,0.039,0.158,0.0,0.216,0.0,0.317,0.026,0.117,2019,0
Jaron Blossomgame,CLE,0.0,0.0,0.081,0.146,0.0,0.317,0.0,0.171,2019,5
Glenn Robinson III,DET,0.0,0.047,0.0,0.22,0.0,0.402,0.093,0.136,2019,0
Jerian Grant,ORL,0.08,0.329,0.0,0.091,0.0,0.311,0.063,0.0,2019,1
Ian Mahinmi,WAS,0.0,0.0,0.181,0.065,0.0,0.097,0.0,0.232,2019,2
Shaun Livingston,GSW,0.059,0.092,0.0,0.221,0.118,0.041,0.0,0.258,2019,3
Courtney Lee,DAL,0.0,0.189,0.0,0.179,0.0,0.326,0.0,0.0,2019,1
Cristiano Felicio,CHI,0.0,0.0,0.298,0.083,0.062,0.05,0.0,0.194,2019,2
Zaza Pachulia,DET,0.039,0.0,0.123,0.052,0.078,0.071,0.0,0.227,2019,2
Thabo Sefolosha,UTA,0.0,0.0,0.0,0.216,0.0,0.492,0.0,0.108,2019,0
Rawle Alkins,CHI,0.0,0.0,0.0,0.196,0.0,0.333,0.0,0.0,2019,0
Patrick Patterson,OKC,0.0,0.0,0.195,0.143,0.104,0.323,0.0,0.072,2019,5
Nene,HOU,0.0,0.0,0.301,0.075,0.103,0.089,0.0,0.267,2019,2
Isaiah Briscoe,ORL,0.083,0.409,0.0,0.127,0.0,0.232,0.0,0.0,2019,4
Wesley Johnson,WAS,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,2019,0
Jaylen Adams,ATL,0.0,0.314,0.0,0.19,0.0,0.299,0.088,0.0,2019,1
Tyson Chandler,LAL,0.0,0.0,0.123,0.071,0.0,0.0,0.0,0.29,2019,2
Dante Cunningham,SAS,0.0,0.0,0.0,0.08,0.0,0.447,0.0,0.207,2019,0
Gary Clark,HOU,0.0,0.0,0.093,0.136,0.0,0.636,0.0,0.0,2019,0
Dairis Bertans,NOP,0.0,0.0,0.0,0.204,0.0,0.245,0.0,0.0,2019,0
Patrick McCaw,TOR,0.0,0.132,0.0,0.276,0.0,0.303,0.0,0.0,2019,0
Jose Calderon,DET,0.0,0.441,0.0,0.075,0.0,0.255,0.124,0.0,2019,4
Julian Washburn,MEM,0.0,0.0,0.0,0.193,0.0,0.386,0.0,0.0,2019,0
Quincy Acy,PHX,0.0,0.0,0.423,0.0,0.0,0.0,0.0,0.0,2019,2
James Harden,HOU,0.45,0.179,0.0,0.199,0.0,0.049,0.027,0.016,2020,4
Russell Westbrook,OKC,0.25,0.124,0.0,0.245,0.09,0.146,0.016,0.024,2020,1
Damian Lillard,POR,0.179,0.517,0.0,0.097,0.0,0.05,0.05,0.014,2020,4
Lebron James,LAL,0.175,0.273,0.008,0.195,0.101,0.062,0.037,0.033,2020,4
