PLAYER,TEAM,Isolation,P&R Handler,P&R Roll,Transition,Post Up,Spot Up,HandOff,Cut,Season,Cluster
Javale McGee,LAL,0.028,0.0,0.116,0.104,0.073,0.038,0.0,0.339,2020,2
JaMychal Green,LAC,0.0,0.0,0.152,0.118,0.062,0.388,0.0,0.069,2020,5
Paul Millsap,DEN,0.063,0.025,0.065,0.141,0.153,0.204,0.0,0.144,2020,5
Marvin Bagley,SAC,0.095,0.0,0.191,0.126,0.136,0.121,0.0,0.131,2020,3
P.J. Tucker,HOU,0.0,0.0,0.075,0.108,0.0,0.575,0.0,0.073,2020,0
Dwight Howard,LAL,0.0,0.0,0.088,0.055,0.114,0.0,0.0,0.276,2020,2
Michael Porter jr.,DEN,0.047,0.045,0.0,0.188,0.028,0.207,0.08,0.147,2020,5
Lonzo Ball,NOP,0.036,0.264,0.0,0.187,0.0,0.311,0.04,0.022,2020,1
Landry Shamet,LAC,0.0,0.148,0.028,0.157,0.0,0.338,0.065,0.0,2020,0
Kentavious Caldwell-Pope,LAL,0.0,0.101,0.02,0.265,0.0,0.292,0.095,0.052,2020,0
Matisse Thybulle,PHI,0.0,0.042,0.0,0.247,0.0,0.44,0.051,0.051,2020,0
Malik Beasley,DEN,0.0,0.125,0.0,0.19,0.0,0.344,0.142,0.052,2020,0
Trevor Ariza,POR,0.0,0.083,0.0,0.296,0.0,0.383,0.0,0.049,2020,0
Andre Iguodala,MIA,0.0,0.09,0.0,0.205,0.0,0.328,0.0,0.098,2020,0
Wesley Matthews,MIL,0.031,0.078,0.0,0.231,0.022,0.296,0.127,0.057,2020,0
Luke Kennard,DET,0.036,0.279,0.0,0.159,0.0,0.228,0.123,0.041,2020,1
Tony Snell,DET,0.024,0.116,0.0,0.163,0.0,0.39,0.085,0.033,2020,0
Matt Thomas,TOR,0.031,0.106,0.0,0.159,0.0,0.271,0.082,0.0,2020,1
Otto Porter jr.,CHI,0.0,0.275,0.0,0.15,0.0,0.213,0.094,0.0,2020,1
Jakob Poetle,SAS,0.0,0.0,0.198,0.095,0.064,0.047,0.0,0.265,2020,2
Mason Plumlee,DEN,0.0,0.0,0.237,0.099,0.172,0.059,0.0,0.153,2020,3
Larry Nance jr.,CLE,0.045,0.0,0.153,0.105,0.079,0.247,0.0,0.132,2020,5
Taj Gibson,MIN,0.0,0.0,0.237,0.075,0.117,0.114,0.0,0.17,2020,2
Christian Wood,DET,0.052,0.0,0.197,0.167,0.066,0.216,0.0,0.096,2020,5
Josh Okogie,MIN,0.018,0.046,0.0,0.239,0.0,0.35,0.102,0.083,2020,0
Nemanja Bjelica,SAC,0.032,0.033,0.104,0.128,0.093,0.274,0.0,0.059,2020,5
Pat Connaughton,MIL,0.0,0.066,0.027,0.153,0.0,0.331,0.079,0.139,2020,0
Robert Williams,BOS,0.0,0.0,0.27,0.107,0.0,0.0,0.0,0.254,2020,2
Markieff Morris,DET,0.034,0.0,0.105,0.107,0.164,0.379,0.0,0.061,2020,5
Robin Lopez,MIL,0.02,0.0,0.156,0.078,0.201,0.245,0.0,0.115,2020,5
Mike Scott,PHI,0.0,0.0,0.064,0.145,0.071,0.408,0.0,0.099,2020,0
Dillon Brooks,MEM,0.042,0.226,0.0,0.187,0.016,0.213,0.139,0.02,2020,1
Tyler Johnson,PHO,0.0,0.166,0.0,0.18,0.0,0.36,0.085,0.066,2020,0
Justine Winslow,,0.0,0.303,0.0,0.133,0.0,0.218,0.0,0.079,2020,1
Al-Farouq Aminu,ORL,0.0,0.0,0.0,0.178,0.0,0.364,0.0,0.119,2020,0
Blake Griffin,DET,0.093,0.202,0.078,0.108,0.166,0.178,0.036,0.036,2020,1
